AtBat,Hits,HmRun,Runs,RBI,Walks,Years,CAtBat,CHits,CHmRun,CRuns,CRBI,CWalks,League,Division,PutOuts,Assists,Errors,Salary,NewLeague,,Years,Salary,Errors
311,81,3,42,30,26,17,8247,2198,100,950,909,690,N,W,153,223,10,320,N,,17,320,10
512,131,26,69,96,52,14,5347,1397,221,712,815,548,A,W,119,216,12,850,A,,14,850,12
507,122,29,78,85,91,18,7761,1947,347,1175,1152,1380,A,E,808,108,2,535,A,,18,535,2
529,137,26,86,97,97,15,6661,1785,291,1082,949,989,A,E,280,10,5,933.333,A,,15,933.333,5
424,119,6,57,46,13,9,3651,1046,32,461,301,112,A,E,224,286,8,850,N,,9,850,8
351,97,4,55,29,39,4,1258,353,16,196,110,117,N,W,226,7,3,210,A,,4,210,3
388,103,15,59,47,39,6,2174,555,80,285,274,186,A,W,182,9,4,325,A,,6,325,4
339,96,4,37,29,23,4,1064,290,11,123,108,55,A,W,104,213,9,275,A,,4,275,9
255,70,7,49,35,43,15,6311,1661,154,1019,608,820,N,E,51,54,8,450,N,,15,450,8
677,238,31,117,113,53,5,2223,737,93,349,401,171,A,E,1377,100,6,1975,A,,5,1975,6
614,163,29,89,83,75,11,5017,1388,266,813,822,617,N,W,303,6,6,1900,N,,11,1900,6
329,83,9,50,39,56,9,3828,948,145,575,528,635,A,W,276,6,2,600,A,,9,600,2
637,174,31,89,116,56,14,6727,2024,247,978,1093,495,N,W,278,9,9,1041.667,N,,14,1041.667,9
280,82,16,44,45,47,2,428,113,25,61,70,63,A,E,148,4,2,110,A,,2,110,2
155,41,12,21,29,22,16,5409,1338,181,746,805,875,A,W,165,9,1,260,A,,16,260,1
458,114,13,67,57,48,4,1350,298,28,160,123,122,A,W,246,389,18,475,A,,4,475,18
314,83,13,39,46,16,5,1457,405,28,156,159,76,A,W,533,40,4,431.5,A,,5,431.5,4
475,123,27,76,93,72,4,1810,471,108,292,343,267,N,E,226,10,6,1220,N,,4,1220,6
317,78,7,35,35,32,1,317,78,7,35,35,32,A,E,45,122,26,70,A,,1,70,26
511,138,25,76,96,61,3,592,164,28,87,110,71,A,W,157,7,8,145,A,,3,145,8
382,119,13,54,58,36,12,2133,594,41,287,294,227,N,W,59,156,9,595,N,,12,595,9
565,148,24,90,104,77,14,7287,2083,305,1135,1234,791,A,E,292,9,5,1861.46,A,,14,1861.46,5
415,115,27,97,71,68,3,711,184,45,156,119,99,N,W,274,2,7,300,N,,3,300,7
424,110,15,70,47,36,7,2130,544,38,335,174,258,N,W,292,6,3,490,N,,7,490,3
495,151,17,61,84,78,10,5624,1679,275,884,1015,709,A,E,1045,88,13,2460,A,,10,2460,13
233,49,2,41,23,18,8,1350,336,7,166,122,106,A,E,102,132,10,375,A,,8,375,10
566,154,22,76,84,43,14,6100,1583,131,743,693,300,A,W,316,439,10,750,A,,14,750,10
641,198,31,101,108,41,5,2129,610,92,297,319,117,A,E,269,17,10,1175,A,,5,1175,10
215,51,4,19,18,11,1,215,51,4,19,18,11,A,E,116,5,12,70,A,,1,70,12
441,128,16,70,73,80,14,6675,2095,209,1072,1050,695,A,W,97,218,16,1500,A,,14,1500,16
325,76,16,33,52,37,5,1506,351,71,195,219,214,N,W,726,87,3,385,A,,5,385,3
490,125,24,81,105,62,13,6063,1646,271,847,999,680,N,E,869,62,8,1925.571,N,,13,1925.571,8
574,152,31,91,101,64,3,985,260,53,148,173,95,N,W,1253,111,11,215,N,,3,215,11
596,171,34,91,108,52,6,2862,728,107,361,401,224,A,W,118,334,21,900,A,,6,900,21
472,118,12,63,54,30,4,793,187,14,102,80,50,A,W,228,377,26,155,A,,4,155,26
283,77,14,45,47,26,16,6840,1910,259,915,1067,546,A,W,144,6,5,700,A,,16,700,5
408,94,4,42,36,66,9,3573,866,59,429,365,410,N,W,282,487,19,535,N,,9,535,19
327,85,3,30,44,20,8,2140,568,16,216,208,93,A,E,91,185,12,362.5,A,,8,362.5,12
370,96,21,49,46,60,15,6986,1972,231,1070,955,921,N,E,137,5,9,733.333,N,,15,733.333,9
354,77,16,36,55,41,20,8716,2172,384,1172,1267,1057,N,W,83,174,16,200,N,,20,200,16
539,139,5,93,58,69,5,1469,369,12,247,126,198,A,W,462,9,7,400,A,,5,400,7
340,84,11,62,33,47,5,1516,376,42,284,141,219,N,E,185,8,4,400,A,,5,400,4
510,126,2,42,44,35,11,5562,1578,44,703,519,256,N,W,207,358,20,737.5,N,,11,737.5,20
282,78,13,37,51,29,5,1649,453,73,211,280,138,A,W,670,57,5,500,A,,5,500,5
380,120,5,54,51,31,8,3118,900,92,444,419,240,A,W,237,8,1,600,A,,8,600,1
584,158,15,70,84,42,5,2358,636,58,265,316,134,N,E,331,20,4,662.5,N,,5,662.5,4
570,169,21,72,88,38,7,3754,1077,140,492,589,263,A,W,295,15,5,950,A,,7,950,5
306,104,14,50,58,25,7,2954,822,55,313,377,187,N,E,116,222,15,750,N,,7,750,15
220,54,10,30,39,31,5,1185,299,40,145,154,128,N,E,50,136,20,297.5,N,,5,297.5,20
278,70,7,22,37,18,18,7186,2081,190,935,1088,643,A,W,0,0,0,325,A,,18,325,0
445,99,1,46,24,29,4,618,129,1,72,31,48,A,W,278,415,16,87.5,A,,4,87.5,16
143,39,5,18,30,15,9,639,151,16,80,97,61,N,W,138,15,1,175,N,,9,175,1
185,40,4,23,11,18,3,524,125,7,58,37,47,N,E,97,2,2,90,N,,3,90,2
589,170,40,107,108,69,6,2325,634,128,371,376,238,A,E,368,20,3,1237.5,A,,6,1237.5,3
343,103,6,48,36,40,15,4338,1193,70,581,421,325,A,E,211,56,13,430,A,,15,430,13
438,103,2,65,32,71,2,440,103,2,67,32,71,A,W,276,7,9,100,N,,2,100,9
600,144,33,85,117,65,2,696,173,38,101,130,69,A,W,319,4,14,165,A,,2,165,14
663,200,29,108,121,32,4,1447,404,57,210,222,68,A,E,241,8,6,250,A,,4,250,6
232,55,9,34,23,45,12,4405,1213,194,702,705,625,N,E,623,35,3,1300,N,,12,1300,3
479,133,10,48,72,55,17,7472,2147,153,980,1032,854,N,W,237,5,4,773.333,N,,17,773.333,4
528,132,21,61,74,41,6,2641,671,97,273,383,226,N,E,885,105,8,1008.333,N,,6,1008.333,8
160,39,8,18,31,22,14,2128,543,56,304,268,298,A,E,33,3,0,275,A,,14,275,0
599,183,10,80,74,32,5,2482,715,27,330,326,158,A,E,231,374,18,775,A,,5,775,18
497,136,7,58,38,26,11,3871,1066,40,450,367,241,A,E,304,347,10,850,A,,11,850,10
210,70,13,32,51,28,15,4040,1130,97,544,462,551,A,E,0,0,0,365,A,,15,365,0
151,41,4,26,21,19,2,288,68,9,45,39,35,A,W,28,56,2,95,A,,2,95,2
278,86,4,33,38,45,1,278,86,4,33,38,45,N,W,102,4,2,110,N,,1,110,2
341,95,6,48,42,20,10,2964,808,81,379,428,221,N,W,158,4,5,100,N,,10,100,5
537,147,23,58,88,47,10,2744,730,97,302,351,174,N,E,92,257,20,277.5,N,,10,277.5,20
399,102,3,56,34,34,5,670,167,4,89,48,54,A,W,211,9,3,80,A,,5,80,3
309,94,5,37,32,26,13,4618,1330,57,616,522,436,N,E,161,3,3,600,N,,13,600,3
616,163,27,83,107,32,3,1437,377,65,181,227,82,A,W,110,308,15,200,A,,3,200,15
579,174,7,67,78,58,6,3053,880,32,366,337,218,N,E,280,479,5,657,N,,6,657,5
165,39,2,13,9,16,3,196,44,2,18,10,18,A,W,332,19,2,75,N,,3,75,2
618,200,20,98,110,62,13,7127,2163,351,1104,1289,564,A,E,330,16,8,2412.5,A,,13,2412.5,8
257,66,5,31,26,32,14,3910,979,33,518,324,382,N,W,87,166,14,250,A,,14,250,14
315,76,13,35,60,25,3,630,151,24,68,94,55,N,E,498,39,13,155,N,,3,155,13
591,157,16,90,78,26,4,2020,541,52,310,226,91,N,E,290,440,25,640,N,,4,640,25
404,92,11,54,49,18,6,1354,325,30,188,135,63,A,E,222,5,5,300,A,,6,300,5
315,73,5,23,37,16,4,450,108,6,38,46,28,A,W,227,15,3,110,A,,4,110,3
429,91,12,41,42,57,13,5590,1397,83,578,579,644,A,W,686,46,4,825,N,,13,825,4
453,101,3,46,43,61,3,948,218,6,96,72,91,N,W,249,444,16,195,N,,3,195,16
184,47,5,20,28,18,11,3327,890,74,419,382,304,N,W,49,2,0,450,N,,11,450,0
591,184,20,83,79,38,5,1689,462,40,219,195,82,N,W,303,12,5,630,N,,5,630,5
181,58,6,34,23,22,1,181,58,6,34,23,22,N,W,88,0,3,86.5,N,,1,86.5,3
441,118,28,84,86,68,8,2723,750,126,433,420,309,A,E,190,2,2,1300,A,,8,1300,2
490,150,21,69,58,35,14,6126,1839,121,983,707,600,A,E,96,5,3,1000,N,,14,1000,3
551,171,13,94,83,94,13,6090,1840,128,969,900,917,N,E,1199,149,5,1800,N,,13,1800,5
550,147,29,85,91,71,6,2816,815,117,405,474,319,A,W,1218,104,10,1310,A,,6,1310,10
283,74,4,34,29,22,10,3919,1062,85,505,456,283,N,W,145,5,7,737.5,N,,10,737.5,7
560,161,26,89,96,66,4,1789,470,65,233,260,155,N,W,332,9,8,625,N,,4,625,8
328,91,12,51,43,33,2,342,94,12,51,44,33,N,E,145,59,8,125,N,,2,125,8
586,159,12,72,79,53,9,3082,880,83,363,477,295,N,E,181,13,4,1043.333,N,,9,1043.333,4
503,136,5,62,48,83,10,3423,970,20,408,303,414,N,W,65,258,8,725,N,,10,725,8
344,85,24,69,64,88,7,911,214,64,150,156,187,A,W,0,0,0,300,A,,7,300,0
680,223,31,119,96,34,3,1928,587,35,262,201,91,A,W,429,8,6,365,A,,3,365,6
279,64,0,31,26,30,1,279,64,0,31,26,30,N,W,107,205,16,75,N,,1,75,16
484,127,20,66,65,67,7,3006,844,116,436,458,377,N,E,1231,80,7,1183.333,N,,7,1183.333,7
431,127,8,77,45,58,2,667,187,9,117,64,88,N,E,283,8,3,202.5,N,,2,202.5,3
283,70,8,33,37,27,12,4479,1222,94,557,483,307,A,E,156,2,2,225,A,,12,225,2
491,141,11,77,47,37,15,4291,1240,84,615,430,340,A,E,239,8,2,525,A,,15,525,2
199,52,9,26,28,21,6,805,191,30,113,119,87,N,W,235,22,5,265,N,,6,265,5
589,149,21,89,86,64,7,3558,928,102,513,471,351,A,E,371,6,6,787.5,A,,7,787.5,6
327,84,22,53,62,38,10,4273,1123,212,577,700,334,A,E,483,48,6,800,N,,10,800,6
464,128,28,67,94,52,13,5829,1552,210,740,840,452,A,W,0,0,0,587.5,A,,13,587.5,0
338,92,18,42,60,21,3,682,185,36,88,112,50,A,E,0,0,0,145,A,,3,145,0
584,157,20,95,73,63,10,4704,1320,93,724,522,576,A,E,276,421,11,420,A,,10,420,11
216,54,2,27,25,33,1,216,54,2,27,25,33,N,W,317,36,1,75,N,,1,75,1
625,179,4,94,60,65,5,1696,476,12,216,163,166,A,E,303,450,14,575,A,,5,575,14
489,131,19,77,55,34,7,2051,549,62,300,263,153,A,W,310,9,9,780,A,,7,780,9
209,56,12,22,36,19,2,216,58,12,24,37,19,N,E,201,6,3,90,N,,2,90,3
407,93,8,47,30,30,2,969,230,14,121,69,68,N,W,172,317,25,150,N,,2,150,25
490,148,14,64,78,49,13,3400,1000,113,445,491,301,A,E,0,0,0,700,N,,13,700,0
442,131,18,68,77,33,6,1416,398,47,210,203,136,A,E,233,7,7,550,A,,6,550,7
288,65,8,30,36,27,9,2815,698,55,315,325,189,N,E,259,30,10,650,A,,9,650,10
209,54,3,25,14,12,1,209,54,3,25,14,12,A,W,102,6,3,68,A,,1,68,3
303,71,3,18,30,36,3,344,76,3,20,36,45,N,E,468,47,6,100,N,,3,100,6
330,77,19,47,53,27,6,1928,516,90,247,288,161,N,W,149,8,6,670,N,,6,670,6
504,120,28,71,71,54,3,1085,259,54,150,167,114,A,E,103,283,19,175,A,,3,175,19
258,60,8,28,33,18,3,638,170,17,80,75,36,A,W,358,32,8,137,A,,3,137,8
20,1,0,0,0,0,2,41,9,2,6,7,4,N,E,78,220,6,2127.333,N,,2,2127.333,6
374,94,5,36,26,62,7,1968,519,26,181,199,288,N,W,756,64,15,875,N,,7,875,15
211,43,10,26,35,39,3,498,116,14,59,55,78,A,W,463,32,8,120,A,,3,120,8
299,75,6,38,23,26,3,580,160,8,71,33,44,N,E,212,1,2,140,N,,3,140,2
576,167,8,89,49,57,4,822,232,19,132,83,79,N,E,325,12,8,210,N,,4,210,8
381,110,9,61,45,32,7,3015,834,40,451,249,168,N,E,228,7,5,800,N,,7,800,5
288,76,7,34,37,15,4,1644,408,16,198,120,113,N,W,203,3,3,240,N,,4,240,3
369,93,9,43,42,49,5,1258,323,54,181,177,157,A,E,149,1,6,350,A,,5,350,6
547,137,2,58,47,12,2,1038,271,3,129,80,24,A,W,261,459,22,175,A,,2,175,22
572,152,18,105,49,65,2,978,249,36,168,91,101,A,W,325,13,3,200,A,,2,200,3
514,144,0,67,54,79,9,4739,1169,13,583,374,528,N,E,229,453,15,1940,N,,9,1940,15
359,80,15,45,48,63,7,1493,359,61,176,202,175,N,W,682,93,13,700,N,,7,700,13
526,163,12,88,50,77,4,1556,470,38,245,167,174,A,W,250,11,1,750,A,,4,750,1
313,83,9,43,41,30,14,5885,1543,104,751,714,535,N,W,58,141,23,450,N,,14,450,23
540,135,30,82,88,55,1,540,135,30,82,88,55,A,W,157,6,14,172,A,,1,172,14
437,123,9,62,55,40,9,4139,1203,79,676,390,364,A,E,82,170,15,1260,A,,9,1260,15
237,52,0,15,25,30,24,14053,4256,160,2165,1314,1566,N,W,523,43,6,750,N,,24,750,6
236,56,6,41,19,21,5,1257,329,24,166,125,105,A,E,172,1,4,190,A,,5,190,4
473,154,6,61,48,29,6,1966,566,29,250,252,178,A,E,846,84,9,580,A,,6,580,9
309,72,0,33,31,26,5,354,82,0,41,32,26,N,E,117,269,12,130,N,,5,130,12
271,77,5,35,29,33,12,4933,1358,48,630,435,403,A,W,62,90,3,450,A,,12,450,3
357,96,7,50,45,39,5,1394,344,43,178,192,136,A,W,167,2,4,300,A,,5,300,4
216,56,4,22,18,15,12,2796,665,43,266,304,198,A,E,391,44,4,250,A,,12,250,4
256,70,13,42,36,44,16,7058,1845,312,965,1128,990,N,E,41,118,8,1050,A,,16,1050,8
466,108,33,75,86,72,3,652,142,44,102,109,102,A,E,286,8,8,215,A,,3,215,8
327,68,13,42,29,45,18,3949,939,78,438,380,466,A,E,659,53,7,400,A,,18,400,7
341,110,9,45,49,46,9,2331,658,50,249,322,274,A,E,251,9,4,560,A,,9,560,4
608,160,28,130,74,89,8,4071,1182,103,862,417,708,A,E,426,4,6,1670,A,,8,1670,6
419,101,18,65,58,92,20,9528,2510,548,1509,1659,1342,A,W,0,0,0,487.5,A,,20,487.5,0
376,82,21,42,60,35,5,1770,408,115,238,299,157,A,W,0,0,0,425,A,,5,425,0
486,145,11,51,76,40,11,3967,1102,67,410,497,284,N,E,88,204,16,500,A,,11,500,16
246,76,5,35,39,13,6,912,234,12,102,96,80,A,E,44,0,1,250,A,,6,250,1
205,52,8,31,27,17,12,5134,1323,56,643,445,459,A,E,155,3,2,400,A,,12,400,2
348,90,11,50,45,43,10,2288,614,43,295,273,269,A,E,60,176,6,450,A,,10,450,6
523,135,8,52,44,52,9,3368,895,39,377,284,296,N,W,367,475,19,750,N,,9,750,19
312,68,2,32,22,24,1,312,68,2,32,22,24,A,E,86,150,15,70,A,,1,70,15
496,119,8,57,33,21,7,3358,882,36,365,280,165,N,W,155,371,29,875,N,,7,875,29
126,27,3,8,10,5,4,239,49,3,16,13,14,N,E,190,2,9,190,N,,4,190,9
275,68,5,42,42,61,6,961,238,16,128,104,172,N,E,181,3,2,191,N,,6,191,2
627,178,14,68,76,46,6,3146,902,74,494,345,242,N,E,309,492,5,740,N,,6,740,5
394,86,1,38,28,36,4,1089,267,3,94,71,76,N,E,203,369,16,250,N,,4,250,16
208,57,8,32,25,18,3,653,170,17,98,54,62,N,E,42,94,13,140,N,,3,140,13
382,101,16,50,55,22,1,382,101,16,50,55,22,A,W,200,7,6,97.5,A,,1,97.5,6
459,113,20,59,57,68,12,5348,1369,155,713,660,735,A,W,0,0,0,740,A,,12,740,0
549,149,7,73,47,42,1,549,149,7,73,47,42,N,W,255,450,17,140,N,,1,140,17
288,63,3,25,33,16,10,2682,667,38,315,259,204,A,W,135,257,7,341.667,A,,10,341.667,7
522,163,9,82,46,62,13,7037,2019,153,1043,827,535,A,E,352,9,1,1000,A,,13,1000,1
512,117,29,54,88,43,6,1750,412,100,204,276,155,A,W,1236,98,18,100,A,,6,100,18
220,66,5,20,28,13,3,290,80,5,27,31,15,A,W,281,21,3,90,A,,3,90,3
522,140,16,73,77,60,4,730,185,22,93,106,86,N,E,1320,166,17,200,N,,4,200,17
461,112,18,54,54,35,2,680,160,24,76,75,49,A,W,111,226,11,135,A,,2,135,11
581,145,17,66,68,21,2,831,210,21,106,86,40,N,E,320,465,32,155,N,,2,155,32
530,159,3,82,50,47,6,1619,426,11,218,149,163,A,W,196,354,15,475,A,,6,475,15
557,142,21,58,81,23,18,8759,2583,271,1138,1299,478,N,W,1160,53,7,1450,N,,18,1450,7
439,96,0,44,36,65,4,711,148,1,68,56,99,N,E,229,406,22,150,N,,4,150,22
453,103,8,53,33,52,2,507,123,8,63,39,58,A,W,289,407,6,105,A,,2,105,6
528,122,1,67,45,51,4,1716,403,12,211,146,155,A,W,209,372,17,350,A,,4,350,17
633,210,6,91,56,59,6,3070,872,19,420,230,274,N,W,367,432,16,90,N,,6,90,16
562,169,17,88,73,53,8,3181,841,61,450,342,373,A,E,351,442,17,530,A,,8,530,17
281,76,3,42,25,20,8,2658,657,48,324,300,179,A,E,106,144,7,341.667,A,,8,341.667,7
593,152,23,69,75,53,6,2765,686,133,369,384,321,A,W,315,10,6,940,A,,6,940,6
687,213,10,91,65,27,4,1518,448,15,196,137,89,A,E,294,445,13,350,A,,4,350,13
368,103,3,48,28,54,8,1897,493,9,207,162,198,N,W,209,246,3,326.667,N,,8,326.667,3
263,70,1,26,23,30,4,888,220,9,83,82,86,N,E,81,147,4,250,N,,4,250,4
642,211,14,107,59,52,5,2364,770,27,352,230,193,N,W,337,19,4,740,N,,5,740,4
265,68,8,26,30,29,7,1337,339,32,135,163,128,N,W,92,5,3,425,A,,7,425,3
559,141,2,48,61,73,8,3162,874,16,421,349,359,N,E,352,414,9,925,N,,8,925,9
520,120,17,53,44,21,4,927,227,22,106,80,52,A,W,70,144,11,185,A,,4,185,11
19,4,1,2,3,1,1,19,4,1,2,3,1,N,W,692,70,8,920,A,,1,920,8
205,43,2,24,17,20,7,854,219,12,105,99,71,N,E,131,6,1,286.667,N,,7,286.667,1
193,47,10,21,29,24,6,1136,256,42,129,139,106,A,W,299,13,5,245,A,,6,245,5
213,61,4,17,22,3,17,4061,1145,83,488,491,244,A,W,178,45,4,235,A,,17,235,4
510,147,10,56,52,53,7,2872,821,63,307,340,174,N,E,810,99,18,1150,N,,7,1150,18
578,138,1,56,59,34,3,1399,357,7,149,161,87,N,E,133,371,20,160,N,,3,160,20
441,113,5,76,52,76,5,1546,397,17,226,149,191,A,W,160,290,11,425,A,,5,425,11
172,42,3,17,14,15,10,4086,1150,57,579,363,406,N,W,65,0,0,900,N,,10,900,0
127,32,4,14,25,12,19,8396,2402,242,1048,1348,819,N,W,167,18,6,500,N,,19,500,6
279,69,4,35,31,32,4,1359,355,31,180,148,158,N,E,133,173,9,277.5,N,,4,277.5,9
480,112,18,50,71,44,7,3031,771,110,338,406,239,N,E,94,270,16,750,N,,7,750,16
600,139,0,94,29,60,2,1236,309,1,201,69,110,N,E,300,12,9,160,N,,2,160,9
610,186,19,107,98,74,6,2728,753,69,399,366,286,N,E,1182,96,13,1300,N,,6,1300,13
360,81,5,37,44,37,7,2268,566,41,279,257,246,N,E,170,284,3,525,N,,7,525,3
387,124,1,67,27,36,7,1775,506,6,272,125,194,N,E,186,290,17,550,N,,7,550,17
580,207,8,107,71,105,5,2778,978,32,474,322,417,A,E,121,267,19,1600,A,,5,1600,19
408,117,11,66,41,34,1,408,117,11,66,41,34,N,W,942,72,11,120,N,,1,120,11
593,172,22,82,100,57,1,593,172,22,82,100,57,A,W,1222,139,15,165,A,,1,165,15
497,127,7,65,48,37,5,2703,806,32,379,311,138,N,E,325,9,3,700,N,,5,700,3
492,136,5,76,50,94,12,5511,1511,39,897,451,875,A,E,313,381,20,875,A,,12,875,20
475,126,3,61,43,52,6,1700,433,7,217,93,146,A,W,37,113,7,385,A,,6,385,7
573,144,9,85,60,78,8,3198,857,97,470,420,332,A,E,1314,131,12,960,A,,8,960,12
631,170,9,77,44,31,11,4908,1457,30,775,357,249,A,W,408,4,3,1000,A,,11,1000,3
